cluster,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,80901,58692,43435,35863,30789,26743,29489,37921,43572,50726,57111,56962,52656,48315,36602,25600,22460,17713,17307,18509,15372,9419,6791,3266
1,6712,4344,3097,2691,2757,3755,5474,10464,17785,23791,29361,37274,42029,38574,36626,36774,33940,34173,44480,61974,85325,79073,50271,27973
2,0,0,0,0,0,0,315,4075,7387,10454,18336,27181,32744,35228,42178,43958,44378,53863,68698,93962,142372,150462,110243,84358
3,26,10,21,12,93,700,1768,1474,1011,925,1097,1901,1299,468,319,309,355,642,1506,1629,1089,897,410,133
4,16192,13699,15604,13779,14001,18216,19676,23854,36375,46902,54502,73376,91291,87300,79805,87595,83583,76029,86305,101453,113891,102300,74920,41698
